Timestamp,Session ID,Student ID,Emotion
2024-08-20 23:19:52,ML01,Student_326_180,disgust
2024-08-20 23:19:52,ML01,Student_258_188,sad
2024-08-20 23:19:53,ML01,Student_254_190,disgust
2024-08-20 23:19:53,ML01,Student_253_190,sad
2024-08-20 23:19:54,ML01,Student_256_201,disgust
2024-08-20 23:19:54,ML01,Student_252_196,sad
2024-08-20 23:19:54,ML01,Student_255_193,sad
2024-08-20 23:19:55,ML01,Student_256_185,sad
2024-08-20 23:19:55,ML01,Student_255_189,sad
2024-08-20 23:19:55,ML01,Student_261_184,sad
2024-08-20 23:19:56,ML01,Student_262_184,sad
2024-08-20 23:19:56,ML01,Student_259_180,sad
2024-08-20 23:19:56,ML01,Student_260_189,sad
2024-08-20 23:19:57,ML01,Student_257_189,sad
2024-08-20 23:19:57,ML01,Student_250_184,sad
2024-08-20 23:19:57,ML01,Student_252_186,sad
2024-08-20 23:19:57,ML01,Student_390_424,disgust
2024-08-20 23:19:58,ML01,Student_254_188,sad
2024-08-20 23:19:58,ML01,Student_252_184,sad
2024-08-20 23:19:58,ML01,Student_261_187,sad
2024-08-20 23:19:59,ML01,Student_254_185,sad
2024-08-20 23:19:59,ML01,Student_248_182,sad
2024-08-20 23:19:59,ML01,Student_247_184,sad
2024-08-20 23:19:59,ML01,Student_249_184,sad
2024-08-20 23:20:00,ML01,Student_251_187,sad
2024-08-20 23:20:00,ML01,Student_261_188,disgust
2024-08-20 23:20:00,ML01,Student_436_422,disgust
2024-08-20 23:20:00,ML01,Student_298_183,sad
2024-08-20 23:20:01,ML01,Student_299_186,sad
2024-08-20 23:20:01,ML01,Student_431_417,disgust
2024-08-20 23:20:01,ML01,Student_296_187,sad
2024-08-20 23:20:01,ML01,Student_297_188,sad
2024-08-20 23:20:02,ML01,Student_295_179,sad
2024-08-20 23:20:02,ML01,Student_292_179,sad
2024-08-20 23:20:02,ML01,Student_287_183,sad
2024-08-20 23:20:03,ML01,Student_284_179,sad
2024-08-20 23:20:03,ML01,Student_285_183,neutral
2024-08-20 23:20:03,ML01,Student_283_181,sad
2024-08-20 23:20:03,ML01,Student_286_190,sad
2024-08-20 23:20:04,ML01,Student_284_188,sad
2024-08-20 23:20:04,ML01,Student_287_193,neutral
2024-08-20 23:20:04,ML01,Student_286_187,sad
2024-08-20 23:20:05,ML01,Student_285_186,neutral
2024-08-20 23:20:05,ML01,Student_285_191,neutral
2024-08-20 23:20:05,ML01,Student_287_196,disgust
2024-08-20 23:20:06,ML01,Student_286_194,disgust
2024-08-20 23:20:06,ML01,Student_292_188,sad
2024-08-20 23:20:06,ML01,Student_293_187,sad
2024-08-20 23:20:06,ML01,Student_290_186,sad
2024-08-20 23:20:07,ML01,Student_289_188,sad
2024-08-20 23:20:07,ML01,Student_285_188,sad
2024-08-20 23:20:07,ML01,Student_285_187,neutral
2024-08-20 23:20:07,ML01,Student_290_192,neutral
2024-08-20 23:20:08,ML01,Student_287_188,sad
2024-08-20 23:20:08,ML01,Student_281_194,sad
2024-08-20 23:20:08,ML01,Student_280_195,sad
2024-08-20 23:20:09,ML01,Student_277_195,sad
2024-08-20 23:20:09,ML01,Student_280_190,neutral
2024-08-20 23:20:09,ML01,Student_279_190,neutral
2024-08-20 23:20:09,ML01,Student_279_192,sad
2024-08-20 23:20:10,ML01,Student_278_183,sad
2024-08-20 23:20:10,ML01,Student_287_193,sad
2024-08-20 23:20:10,ML01,Student_289_193,sad
2024-08-20 23:20:10,ML01,Student_287_194,sad
2024-08-20 23:20:11,ML01,Student_286_192,sad
2024-08-20 23:20:11,ML01,Student_285_191,sad
2024-08-20 23:20:11,ML01,Student_284_190,sad
2024-08-20 23:20:12,ML01,Student_239_422,disgust
2024-08-20 23:20:12,ML01,Student_200_91,sad
2024-08-20 23:20:12,ML01,Student_240_423,disgust
2024-08-20 23:20:13,ML01,Student_215_104,disgust
2024-08-20 23:20:13,ML01,Student_345_189,disgust
2024-08-20 23:20:14,ML01,Student_340_185,disgust
2024-08-20 23:20:14,ML01,Student_345_187,sad
2024-08-20 23:20:14,ML01,Student_363_197,disgust
2024-08-20 23:20:15,ML01,Student_377_208,disgust
2024-08-20 23:20:15,ML01,Student_373_205,disgust
2024-08-20 23:20:15,ML01,Student_366_206,disgust
2024-08-20 23:20:16,ML01,Student_369_208,disgust
2024-08-20 23:20:16,ML01,Student_362_200,disgust
2024-08-20 23:20:16,ML01,Student_358_196,disgust
2024-08-20 23:20:16,ML01,Student_365_203,disgust
2024-08-20 23:20:17,ML01,Student_364_201,disgust
